ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
4458,2167,6037216700,"Census Tract 2167, Los Angeles County, California",1687,0,1951,4,19,4.2,1.844102,46250,3910,36.9,3750,1629,888
4459,2168,6037216800,"Census Tract 2168, Los Angeles County, California",1616,0,1939,0,14,5.4,2.172649,52331,3576,36.6,3450,1570,733
4460,2169,6037216900,"Census Tract 2169, Los Angeles County, California",2532,0,1944,41,30,4.5,1.849131,46250,5382,38.9,5211,2468,1214
4461,2170,6037217e3,"Census Tract 2170, Los Angeles County, California",3016,0,1950,6,24,4.1,1.878979,45641,6726,35,6568,2939,1448
4462,2171,6037217100,"Census Tract 2171, Los Angeles County, California",2632,0,1947,0,40,4.3,1.675912,32582,6036,32.5,6028,2483,1336
4463,2172,6037217200,"Census Tract 2172, Los Angeles County, California",1669,10,1942,0,51,4.2,1.712403,39141,3950,33.3,3950,1579,897
4464,218110,6037218110,"Census Tract 2181.10, Los Angeles County, California",1210,0,1947,14,53,3.3,1.519835,22746,3385,32.9,3374,1128,741
4465,218120,6037218120,"Census Tract 2181.20, Los Angeles County, California",1431,6,1953,43,68,2.5,1.321454,24080,4588,29.3,4571,1341,1005
4466,218210,6037218210,"Census Tract 2182.10, Los Angeles County, California",1240,0,1957,17,59,3.1,1.459677,24375,4434,27,4236,1158,901
4467,218220,6037218220,"Census Tract 2182.20, Los Angeles County, California",1515,0,1950,39,0,3.8,1.972277,31995,4469,30.7,4450,1413,993
4468,2183,6037218300,"Census Tract 2183, Los Angeles County, California",2112,0,1950,14,27,3.6,1.504261,30557,5569,30.2,5567,1987,1301
4469,2184,6037218400,"Census Tract 2184, Los Angeles County, California",1835,0,1954,20,87,3.8,1.655586,28274,5880,28.4,5851,1739,1296
4470,2185,6037218500,"Census Tract 2185, Los Angeles County, California",1140,23,1947,20,38,3.9,1.671053,32309,3253,30.7,3191,1058,719
4471,2186,6037218600,"Census Tract 2186, Los Angeles County, California",1440,0,1945,52,28,3.8,1.624306,26522,3742,32.6,3625,1330,822
4472,2187,6037218700,"Census Tract 2187, Los Angeles County, California",1490,0,1949,6,8,3.7,1.777181,24978,4255,31.2,4196,1376,966
4473,2188,6037218800,"Census Tract 2188, Los Angeles County, California",957,0,1953,5,17,3.6,1.609195,23059,2821,30.1,2821,898,607
4474,2189,6037218900,"Census Tract 2189, Los Angeles County, California",2128,0,1954,21,61,3.5,1.555451,21469,5432,29.3,5368,1998,1263
4475,219010,6037219010,"Census Tract 2190.10, Los Angeles County, California",832,8,1945,0,8,3.1,1.449519,30438,2602,30.7,2602,769,553
4476,219020,6037219020,"Census Tract 2190.20, Los Angeles County, California",1401,0,1942,33,26,4.1,1.837973,27355,4362,28.9,4351,1299,965
4477,2193,6037219300,"Census Tract 2193, Los Angeles County, California",1420,0,1951,35,27,3.6,1.442254,22688,3489,30.3,3488,1321,793
4478,2195,6037219500,"Census Tract 2195, Los Angeles County, California",729,7,1945,0,0,5.5,2.422497,50425,1703,47.5,1703,736,490
4479,2197,6037219700,"Census Tract 2197, Los Angeles County, California",1065,0,1949,9,7,4.1,1.729577,33800,3164,30.6,3164,960,692
4480,2198,6037219800,"Census Tract 2198, Los Angeles County, California",1499,0,1955,13,69,3,1.322882,26454,4783,25.8,4772,1414,1079
4481,2199,6037219900,"Census Tract 2199, Los Angeles County, California",1769,0,1952,34,38,3.7,1.703222,26859,5993,26.7,5977,1655,1316
4482,2200,603722e4,"Census Tract 2200, Los Angeles County, California",1985,0,1947,8,35,4.1,1.745592,28147,5165,32.8,5165,1910,1240
4483,2201,6037220100,"Census Tract 2201, Los Angeles County, California",1023,0,1950,6,0,4.4,1.871945,30954,2387,38.3,2386,1000,646
4484,221110,6037221110,"Census Tract 2211.10, Los Angeles County, California",1107,0,1950,45,44,2.3,0.931346,18397,3819,27.7,3755,1045,806
4485,221120,6037221120,"Census Tract 2211.20, Los Angeles County, California",826,0,1954,4,4,2.5,0.983051,28021,3375,26.4,3370,804,699
4486,221210,6037221210,"Census Tract 2212.10, Los Angeles County, California",890,0,1946,71,56,3.3,1.632584,35441,3269,29.9,3234,848,652
4487,221220,6037221220,"Census Tract 2212.20, Los Angeles County, California",1034,8,1953,45,86,2.3,0.948743,22839,3553,28.9,3548,999,788
4488,221301,6037221301,"Census Tract 2213.01, Los Angeles County, California",1828,0,1964,47,80,2.4,1.126368,21952,6069,28.6,5802,1762,1266
4489,221302,6037221302,"Census Tract 2213.02, Los Angeles County, California",1348,0,1963,42,57,2.6,1.275223,20863,4472,29.2,4440,1307,932
4490,2214,6037221400,"Census Tract 2214, Los Angeles County, California",1685,0,1956,34,34,3,1.402967,17284,4350,36.8,3871,1604,829
4491,2215,6037221500,"Census Tract 2215, Los Angeles County, California",1770,0,1961,55,52,2.9,1.429944,18340,5145,31.7,4975,1666,1083
4492,2216,6037221600,"Census Tract 2216, Los Angeles County, California",1341,6,1952,38,49,2.8,1.327368,23269,5036,27,4974,1280,997
4493,221710,6037221710,"Census Tract 2217.10, Los Angeles County, California",1468,15,1959,33,79,2.5,1.059264,18692,4694,28.6,4665,1396,1016
4494,221810,6037221810,"Census Tract 2218.10, Los Angeles County, California",1069,0,1957,25,21,2.7,1.188962,17958,3071,25.1,3055,1034,500
4495,221820,6037221820,"Census Tract 2218.20, Los Angeles County, California",1207,0,1964,19,39,2.3,1.358741,13839,3234,23.3,2670,1169,383
4496,2219,6037221900,"Census Tract 2219, Los Angeles County, California",1491,0,1970,20,18,2.6,1.276325,11817,5612,20.4,3817,1458,455
4497,2220,6037222e3,"Census Tract 2220, Los Angeles County, California",2281,0,1947,26,21,4.1,1.768084,28938,7314,29.5,7283,2095,1539
4498,2221,6037222100,"Census Tract 2221, Los Angeles County, California",1181,0,1946,16,8,3.3,1.572396,26012,3738,27.5,3719,1086,782
4499,2222,6037222200,"Census Tract 2222, Los Angeles County, California",1250,5,1949,28,18,3,1.6104,22991,3878,28.5,3846,1151,805
4500,2225,6037222500,"Census Tract 2225, Los Angeles County, California",1325,8,1949,31,59,4,1.830189,27687,4437,28.7,4400,1226,927
4501,2226,6037222600,"Census Tract 2226, Los Angeles County, California",1707,7,1954,43,63,3.5,1.684827,21792,5419,25.6,5419,1590,1108
4502,2227,6037222700,"Census Tract 2227, Los Angeles County, California",147,0,1965,0,0,1.9,0.755102,3779,246,19.2,246,139,1
4503,224010,6037224010,"Census Tract 2240.10, Los Angeles County, California",918,0,1957,134,125,1.3,0.417211,17587,2529,28.4,2295,817,457
4504,224020,6037224020,"Census Tract 2240.20, Los Angeles County, California",656,0,1959,12,32,1.7,0.814024,22303,2427,25.5,2422,623,489
4505,2242,6037224200,"Census Tract 2242, Los Angeles County, California",935,0,1953,52,70,1.5,0.960428,17820,3067,27.8,2843,868,591
4506,224310,6037224310,"Census Tract 2243.10, Los Angeles County, California",642,0,1954,24,20,1.5,0.912773,17594,2238,26.6,2172,599,453
4507,224320,6037224320,"Census Tract 2243.20, Los Angeles County, California",1065,0,1957,24,11,1.9,0.799061,16036,3293,26.7,3293,998,718
4508,224410,6037224410,"Census Tract 2244.10, Los Angeles County, California",1140,0,1948,36,57,2,0.959649,19397,3423,26.4,3314,1073,651
4509,224420,6037224420,"Census Tract 2244.20, Los Angeles County, California",825,0,1942,35,49,1.8,0.970909,19806,2313,25.3,2056,663,420
4510,2246,6037224600,"Census Tract 2246, Los Angeles County, California",909,0,1954,18,28,2.6,1.267327,23482,3862,25.3,3679,859,688
4511,2247,6037224700,"Census Tract 2247, Los Angeles County, California",1064,0,1966,0,60,2.1,1.052632,6310,5230,20.8,2198,1020,147
4512,2260,6037226e3,"Census Tract 2260, Los Angeles County, California",1501,0,1942,238,406,1.5,0.928048,17292,4232,30.5,3700,1315,652
4513,226410,6037226410,"Census Tract 2264.10, Los Angeles County, California",863,0,1958,31,11,2.2,1.16686,25655,3990,24.2,3981,828,721
4514,226420,6037226420,"Census Tract 2264.20, Los Angeles County, California",1193,0,1958,6,62,3,1.569992,25467,5155,24.9,5083,1132,910
4515,2267,6037226700,"Census Tract 2267, Los Angeles County, California",1403,25,1959,64,47,2.9,1.43407,24122,6469,23.7,6469,1317,1160
4516,227010,6037227010,"Census Tract 2270.10, Los Angeles County, California",998,0,1961,26,12,2.9,1.533066,23396,4297,23.7,4295,893,767
4517,227020,6037227020,"Census Tract 2270.20, Los Angeles County, California",794,4,1952,0,0,3.1,1.714106,27447,3545,23.5,3545,710,616
4518,2281,6037228100,"Census Tract 2281, Los Angeles County, California",1075,5,1961,26,29,3.3,1.653953,21886,4929,23.1,4929,986,875
4519,228210,6037228210,"Census Tract 2282.10, Los Angeles County, California",841,12,1958,57,57,2.8,1.267539,27112,3404,24.1,3404,745,620
4520,228220,6037228220,"Census Tract 2282.20, Los Angeles County, California",901,0,1951,26,55,3.3,1.485017,21810,3904,23.3,3898,804,697
